video_id,view_count,like_count,comment_count,captured_at
YCoP2Nr-_p0,9,1,0,2026-01-19T21:16:41.154859
orPkbsMXV6U,11,2,0,2026-01-19T21:16:44.273962
16NWRfXcLYQ,4,1,0,2026-01-19T21:16:44.273989
L5LvVEqm5_0,11,4,0,2026-01-19T21:16:44.274000
GtlhXlLfUPI,38,10,16,2026-01-19T21:16:44.274012
kTWslNEJaOg,6,1,1,2026-01-19T21:16:44.274027
8ikxheIkgo0,4,1,1,2026-01-19T21:16:44.274038
k2wUOFD2hRQ,2,0,0,2026-01-19T21:16:44.274051
bARvsxMOKfc,4,1,0,2026-01-19T21:16:44.274073
jnLc8j4QO3I,47,3,2,2026-01-19T21:16:44.274087
7ZsZidFufzU,10,1,0,2026-01-19T21:16:44.274098
20SuYmp9FVY,18,5,1,2026-01-19T21:16:44.274108
94uMHCqsBBY,0,0,0,2026-01-19T21:16:44.274118
9RwLDGLOWd4,1,0,0,2026-01-19T21:16:44.274127
H9n5NjzbkJQ,186,18,5,2026-01-19T21:16:44.274136
MLr6njR4Ycs,27,2,0,2026-01-19T21:16:44.274145
4qG4B2Sb7_Y,240,1,1,2026-01-19T21:16:44.274157
HmgGpONBa_I,450,22,0,2026-01-19T21:16:44.274170
xk8wHY1AFpI,4002524,95267,4909,2026-01-19T21:16:44.274180
M8eSyh4YlbI,2941288,80138,4638,2026-01-19T21:16:44.274189
UZDiGooFs54,2398394,87676,2143,2026-01-19T21:16:44.274198
4RixMPF4xis,1484782,42959,1009,2026-01-19T21:16:44.274207
qcqTFaj6RLI,1322186,24478,874,2026-01-19T21:16:44.274217
cAkMcPfY_Ns,1076607,44300,963,2026-01-19T21:16:44.274229
t9MJ1gxcJ4w,1072401,39320,2028,2026-01-19T21:16:44.274240
5FpsGnkbEpM,1073682,15028,248,2026-01-19T21:16:44.274250
MrbizZybHi4,935195,23027,1938,2026-01-19T21:16:44.274260
O0H2m_r-ZhI,903706,27927,889,2026-01-19T21:16:44.274269
7IgVGSaQPaw,895857,25172,814,2026-01-19T21:16:44.274280
C6YtPJxNULA,890050,31611,961,2026-01-19T21:16:44.274290
r8OjlgWpAI0,804742,11386,224,2026-01-19T21:16:44.274300
jcgaNrC4ElU,756947,14031,204,2026-01-19T21:16:44.274308
Xk2gwh0qG5s,623240,18785,1342,2026-01-19T21:16:44.274317
QcPycBZomac,621028,7143,100,2026-01-19T21:16:44.274326
t1h5vHJ0mCQ,569178,22080,1368,2026-01-19T21:16:44.274335
N6WaBlNxgb4,4,0,0,2026-01-19T21:16:44.274348
5GCHjYKZMag,5,0,0,2026-01-19T21:16:44.274359
P4lVaO2dEQQ,0,0,0,2026-01-19T21:16:44.274369
58gMmrZZAyI,11,0,0,2026-01-19T21:16:44.274378
lZwQJaTUhtI,1,0,0,2026-01-19T21:16:44.274387
pihVx-7ujB0,0,0,0,2026-01-19T21:16:44.274395
1wusQDGxIXc,4,0,0,2026-01-19T21:16:44.274403
vB8xTPjw0LE,1,0,0,2026-01-19T21:16:44.274412
mfU6RO0mdqo,1,0,0,2026-01-19T21:16:44.274422
lMyQsyhghv8,1,0,0,2026-01-19T21:16:44.274432
VjDL4QzcGdA,6,0,1,2026-01-19T21:16:44.274440
FGLdRdPzdbU,8,1,0,2026-01-19T21:16:44.274447
2rilLjjI1NE,22,11,0,2026-01-19T21:16:44.274457
bRBrKJuLc5w,2,0,0,2026-01-19T21:16:44.274465
f_iCYEWqqBA,5,0,0,2026-01-19T21:16:44.274473
asClTXQ2Wvs,0,0,0,2026-01-19T21:16:44.274481
2HXu0Ihr2fA,6,0,0,2026-01-19T21:16:48.131643
QkOmckR96Nk,6,0,0,2026-01-19T21:16:48.131680
vWVAcuh3x7Y,1,0,0,2026-01-19T21:16:48.131687
7cHqFs9jCzQ,20,4,0,2026-01-19T21:16:48.131692
n-45E2SzP4M,0,0,0,2026-01-19T21:16:48.131698
iLydzC49YWA,107,2,0,2026-01-19T21:16:48.131708
q3EFukOCGjU,13,2,0,2026-01-19T21:16:48.131715
w__y7508704,4391,260,1,2026-01-19T21:16:48.131722
0-4A-ziPkUk,55,4,0,2026-01-19T21:16:48.131729
vXRLUllsKf8,13,0,0,2026-01-19T21:16:48.131734
eVZ8y-_oIj8,2,0,0,2026-01-19T21:16:48.131739
4yFtuSPzmDk,8,0,0,2026-01-19T21:16:48.131745
jSOLi5qivpE,3,1,0,2026-01-19T21:16:48.131751
keYx1M06v1M,3,1,0,2026-01-19T21:16:48.131757
EFmxPMdBqmU,17172465,679453,24856,2026-01-19T21:16:48.131764
0HyIda5eub8,4344480,171809,6348,2026-01-19T21:16:48.131770
RGaW82k4dK4,2798842,156257,6938,2026-01-19T21:16:48.131777
jTJvyKZDFsY,2578174,158354,1508,2026-01-19T21:16:48.131783
AdygBbbEnco,2136765,68950,4043,2026-01-19T21:16:48.131789
H09PmP5tsy8,2122110,67957,942,2026-01-19T21:16:48.131795
y1JMaJ_OkWM,2055625,71787,1742,2026-01-19T21:16:48.131801
GmdGv5ndX54,1322020,51846,3360,2026-01-19T21:16:48.131807
tAuRQs_d9F8,1276784,41681,496,2026-01-19T21:16:48.131812
qkFYqY3vr84,1213438,76249,1369,2026-01-19T21:16:48.131818
lzHLPaU7UUE,1198640,27733,531,2026-01-19T21:16:48.131823
vo-E__zJ-vY,1111910,15989,325,2026-01-19T21:16:48.131829
6R0TkF6Mgrk,1100806,41227,1321,2026-01-19T21:16:48.131835
HLD-Ll_-IT4,1062244,11872,1573,2026-01-19T21:16:48.131840
I72uD8ED73U,1031614,34708,709,2026-01-19T21:16:48.131846
g4Ffdh41vRQ,939063,34420,1438,2026-01-19T21:16:48.131852
D2cwvpJSBX4,838645,13450,284,2026-01-19T21:16:48.131858
gCFkkYZSxOc,782331,34707,1590,2026-01-19T21:16:48.131863
PnPc2xDwMvQ,750066,23631,996,2026-01-19T21:16:48.131870
mOJu1I57Ajc,702153,24447,787,2026-01-19T21:16:48.131876
OeEHJgzqS1k,700147,19415,564,2026-01-19T21:16:48.131882
jz4v-Dyfcl4,0,0,0,2026-01-19T21:16:48.131889
4CwGVXHkCAQ,0,0,0,2026-01-19T21:16:48.131894
